Car_id,Date,Engine,Transmission,Color,Price ($),Body Style,Phone
C_CND_000001,1/2/2022,Double Overhead Camshaft,Auto,Black,26000,SUV,8264678
C_CND_000002,1/2/2022,Double Overhead Camshaft,Auto,Black,19000,SUV,6848189
C_CND_000003,1/2/2022,Overhead Camshaft,Manual,Red,31500,Passenger,7298798
C_CND_000004,1/2/2022,Overhead Camshaft,Manual,Pale White,14000,SUV,6257557
C_CND_000005,1/2/2022,Double Overhead Camshaft,Auto,Red,24500,Hatchback,7081483
C_CND_000006,1/2/2022,Overhead Camshaft,Manual,Pale White,12000,Hatchback,7315216
C_CND_000007,1/2/2022,Overhead Camshaft,Manual,Pale White,14000,Passenger,7727879
C_CND_000008,1/2/2022,Double Overhead Camshaft,Auto,Pale White,42000,Passenger,6206512
C_CND_000009,1/2/2022,Overhead Camshaft,Manual,Pale White,82000,Hardtop,7194857
C_CND_000010,1/2/2022,Double Overhead Camshaft,Auto,Pale White,15000,Passenger,7836892
C_CND_000011,1/2/2022,Overhead Camshaft,Manual,Pale White,31000,SUV,7995489
C_CND_000012,1/2/2022,Double Overhead Camshaft,Auto,Pale White,46000,Hardtop,7288103
C_CND_000013,1/2/2022,Double Overhead Camshaft,Auto,Black,9000,SUV,6842408
C_CND_000014,1/2/2022,Double Overhead Camshaft,Auto,Pale White,15000,Hatchback,7558767
C_CND_000015,1/2/2022,Overhead Camshaft,Manual,Pale White,26000,Sedan,7677191
C_CND_000016,1/2/2022,Overhead Camshaft,Manual,Pale White,17000,Hatchback,8431908
C_CND_000017,1/2/2022,Overhead Camshaft,Manual,Black,18000,Hatchback,7814646
C_CND_000018,1/2/2022,Double Overhead Camshaft,Auto,Pale White,31000,Passenger,7456650
C_CND_000019,1/2/2022,Double Overhead Camshaft,Auto,Pale White,33000,SUV,7627010
C_CND_000020,1/2/2022,Double Overhead Camshaft,Auto,Pale White,21000,Sedan,6736704
C_CND_000021,1/2/2022,Overhead Camshaft,Manual,Black,25000,Sedan,7889827
C_CND_000022,1/2/2022,Double Overhead Camshaft,Auto,Black,21000,Hardtop,6183219
C_CND_000023,1/2/2022,Overhead Camshaft,Manual,Pale White,12000,Hardtop,8097778
C_CND_000024,1/2/2022,Double Overhead Camshaft,Auto,Pale White,18000,Passenger,7959858
C_CND_000025,1/2/2022,Double Overhead Camshaft,Auto,Pale White,22000,Passenger,8570849
C_CND_000026,1/2/2022,Double Overhead Camshaft,Auto,Pale White,31250,SUV,8520534
C_CND_000027,1/2/2022,Double Overhead Camshaft,Auto,Black,19000,Passenger,6362556
C_CND_000028,1/2/2022,Overhead Camshaft,Manual,Pale White,41000,Hatchback,6281210
C_CND_000029,1/2/2022,Overhead Camshaft,Manual,Pale White,41000,Hatchback,6292720
